Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2015,801,Australia,Australian Government,2015000210,Iraq,Middle East,ODA Grants,6.01097,801,IRAQ HUMANITARIAN ASSISTANCE JUNE 2015: IN RESPONSE TO THE CRISIS IN IRAQ,Iraq Humanitarian Assistance June 2015: In Response To The Crisis In Iraq,IT,Erbil,36.16948,43.88306,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2015-06-03 00:00:00,2015-12-14 00:00:00,"Funding under this investment provides humanitarian assistance in response to the crisis in Iraq. The humanitarian situation in Iraq is rapidly deteriorating as people continue fleeing attacks by Daesh and other armed opposition groups. Since the start of 2014, 3.2 million people have been displaced. Funding is being provided to the World Food Programme (WFP) for urgent food assistance, to the United Nations Population Fund (UNFPA) to provide targeted assistance to displaced women, girls and victims of gender-based violence, to the UN Refugee Agency (UNHCR) for shelter and non-food items and to Plan International Australia for medical assistance. The total value of this investment is $18 million, starting 2014-15.","Australia, Australian Government",73,58,73,723
2013,742,Korea,Korea International Cooperation Agency,2013016860,Iraq,Middle East,ODA Grants,6,302,THE PROJECT FOR CAPACITY BUILDING OF THE KURDISTAN INSTITUTE,The Project for Capacity Building of the Kurdistan Institute,Public Administration,Erbil,36.15837,44.00971,15110,Public sector policy and administrative management,151,I.5.a. Government & Civil Society-general,2013-01-01 00:00:00,2016-12-31 00:00:00,"The Project for Capacity Building of the Kurdistan Institute of Public Administration (KIPA), initiated in December 2013 with support from the Korea International Cooperation Agency (KOICA), aimed to enhance the administrative capabilities of the Kurdistan Regional Government (KRG). Implemented by the Korea Institute for Development Strategy (KDS) in partnership with Konkuk University, the project focused on developing a comprehensive master plan for KIPA, restructuring its organizational framework, and creating specialized training programs and curricula. The project also involved dispatching Korean experts to Erbil and organizing invitational training programs in South Korea for KRG officials and KIPA staff. The initiative was officially launched in February 2014 with a kick-off meeting attended by key KRG officials, including Dr. Ali Sindi, the Minister of Planning, and representatives from KOICA","Korea, Korea International Cooperation Agency",60,50,60,45
2019,302,United States,State Department,2019007114,Iraq,Middle East,ODA Grants,6,302,UNICEF 2019 APPEAL FOR SYRIA REGIONAL REFUGEE AND RESILIENCE PLAN (3RP),UNICEF 2019 Appeal for Syria Regional Refugee and Resilience Plan (3RP),Public Administration,Erbil,36.54675,44.00881,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2019-01-01 00:00:00,2019-12-31 00:00:00,"The 2019 UNICEF Syria Regional Refugee and Resilience Plan (3RP) in Iraq focused on supporting Syrian refugee children and their families, primarily in the Kurdistan Region of Iraq (KR-I). The program provided essential services including education, child protection, health, and water, sanitation, and hygiene (WASH) interventions. A key implementation site was the Darashakran Refugee Camp in Erbil Governorate, which hosted a significant number of Syrian refugees.","United States, State Department",71,39,71,198
2020,302,United States,Agency for International Development,2020023022,Iraq,Middle East,ODA Grants,6,302,IRAQ CHILD PROTECTION AND GBV SERVICES,Iraq Child Protection and GBV Services,Public Administration,Nineveh,35.91772,43.29242,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2020-08-01 00:00:00,2021-07-31 00:00:00,"To ensure sustained and enhanced preventive and responsive Child Protection and GBV services for conflict-affected, displaced children and women in and outside of camps","United States, Agency for International Development",38,41,38,168
2022,742,Korea,Korea International Cooperation Agency,2022000794,Iraq,Middle East,ODA Grants,6,302,UN-HABITAT PROMOTING PEACE AND STABILITY IN IRAQ BY FACILITATING SUSTAINABLE RETURNS,UN-HABITAT Promoting peace and stability in Iraq by facilitating sustainable returns,Public Administration,Nineveh,36.31816,41.85086,15190,"Facilitation of orderly, safe, regular and responsible migration and mobili",151,I.5.a. Government & Civil Society-general,2022-06-23 00:00:00,2024-12-31 00:00:00,"In 2022, UN-Habitat, with support from the Korea International Cooperation Agency (KOICA), launched a two-year initiative aimed at facilitating the sustainable return of displaced populations to Sinjar, Iraq. This project focused on protecting housing, land, and property (HLP) rights, providing adequate housing, and ensuring access to essential water, sanitation, and hygiene (WASH) facilities to prevent the spread of COVID-19. A significant achievement of the project was the issuance of 180 land occupancy certificates to Yazidi households in Sinjar, granting them formal recognition of their land rights for the first time. Additionally, the rehabilitation of 578 houses in the Zanjili neighborhood of Mosul was completed, and vocational training was provided to 153 returnees, including 46 women. The project directly benefited 55,800 vulnerable individuals in Sinjar, contributing to the broader efforts of the Kurdistan Regional Government to support the return and reintegration of displaced communities.","Korea, Korea International Cooperation Agency",84,75,84,257
2018,742,Korea,Korea International Cooperation Agency,2018125499,Iraq,Middle East,ODA Grants,6,302,"MODERNIZATION OF PUBLIC PROCUREMENT SYSTEM IN KURDISTAN, ESTABLISHING E-GOVERNMENT PROCUREMENT","Modernization of Public Procurement System in Kurdistan, Establishing E-Government Procurement",Public Administration,Erbil,36.19839,44.00137,15110,Public sector policy and administrative management,151,I.5.a. Government & Civil Society-general,2018-01-01 00:00:00,2021-12-31 00:00:00,"The activities of this proposed project are fully aligned with KRG 2020 Vision of `Effective, transparent, trusted and honest Government through effective use of information technologies and establishment of E-GP. This project consists of, (1)Development, pilot and rollout of E-Government Procurement, (2)Preparation of regulatory instruments, (3)Communication, Behavioral Change, and Capacity Building, (4) Renovation of current MoP`s building(Procurement Department)","Korea, Korea International Cooperation Agency",94,50,94,469
2014,302,United States,State Department,2014023564,Iraq,Middle East,ODA Grants,5.99407,302,CONVENTION WEAPONS DESTRUCTION,Convention Weapons Destruction,IT,Baghdad,33.32352,44.38909,15240,Reintegration and SALW control,152,"I.5.b. Conflict, Peace & Security",2013-10-01 00:00:00,2013-10-01 00:00:00,"The 2013 Conventional Weapons Destruction program in Iraq, funded by the United States, supported the Iraq Mine and UXO Clearance Organization (IMCO) in clearing landmines and unexploded ordnance (UXO) across central and southern Iraq. IMCO's operations were crucial in mitigating the risks posed by explosive remnants of war, thereby enhancing civilian safety and facilitating the rehabilitation of affected areas ","United States, State Department",30,30,30,99
2023,10,Sweden,Swedish International Development Authority,2023060484,Iraq,Middle East,ODA Grants,5.988815,10,DECENTRALISERING 2023-2025 - DECENTRALISATION  2023-2025,Decentralisering 2023-2025 - Decentralisation  2023-2025,Public Administration,Duhok,36.84986,42.98472,15112,Decentralisation and support to subnational government,151,I.5.a. Government & Civil Society-general,2023-07-01 00:00:00,2026-07-31 00:00:00,"The project application is for  decentralisation in Iraq for the period of 2023-2026 was submitted with a requested budget of MSEK 101,3The project aims to contribute to Iraq's decentralisation reform and improving social services in the guvernorates of Duhok, Diwaniyah, Muthanna and Al-Anbar with the following objectives: 1) Strengthened policy formulation and fact-based planning capacities. 2) More effective local financial management and budgeting processes together with 3) Improved local systems of protection for vulnerable groups in Duhok, Kurdistan. The project will implemented in collaborate with a local organisation.","Sweden, Swedish International Development Authority",56,54,56,632
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020005637,Iraq,Middle East,ODA Grants,5.980627,302,"STRENTHENING THE RESILIENCE OF RETURNEE AND HOST COMMUNITIES THROUGH MULTI-SECTORAL RECONSTRUCTION OF BASIC INFRASTRUCTURE, CAPACITY BUILDING","Strenthening the resilience of returnee and host communities through multi-sectoral reconstruction of basic infrastructure, capacity building",Infrastructure,Diyala,33.74991,44.63657,16050,Multisector aid for basic social services,160,I.6. Other Social Infrastructure & Services,2020-06-01 00:00:00,2024-05-31 00:00:00,"Strengthening the resilience of vulnerable returnees, Internally Dicplaced Persons and host communities through improved access to basic services and income security.","Germany, Federal Ministry for Economic Cooperation and Development",141,41,141,166
2018,918,EU Institutions,European Commission,2018000292,Iraq,Middle East,ODA Grants,5.901098,918,"EXPLOSIVE HAZARD MITIGATION IN AREAS LIBERATED FROM DA'ESH, IRAQ","Explosive Hazard Mitigation in areas liberated from Da'esh, Iraq",Infrastructure,Nineveh,36.3938,43.00225,16050,Multisector aid for basic social services,160,I.6. Other Social Infrastructure & Services,2018-12-09 00:00:00,2021-12-09 00:00:00,"The UNMAS programme in Iraq, or UNMAS Iraq , is implementing a multi-year comprehensive response to address the problem of explosive hazards (EH), including improvised explosive devices (IEDs).","EU Institutions, European Commission",64,41,64,193
2018,302,United States,Agency for International Development,2018025786,Iraq,Middle East,ODA Grants,5.89533,302,"HUMANITARIAN ASSISTANCE - IRAQ AWARD FOR ERMS, HEALTH, MCA, PROTECTION, SS, WASH","Humanitarian Assistance - Iraq award for ERMS, Health, MCA, Protection, SS, WASH",Public Administration,Nineveh,35.98392,43.38368,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2018-07-01 00:00:00,2019-10-31 00:00:00,"The 2018 Humanitarian Assistance award in Iraq supported sectors including Economic Recovery and Market Systems (ERMS), Health, Multi-Purpose Cash Assistance (MCA), Protection, Shelter and Settlements (SS), and Water, Sanitation, and Hygiene (WASH). Implemented under the Iraq Humanitarian Response Plan, the program aimed to assist vulnerable populations, particularly in areas affected by conflict. A key implementation site was the Hammam al-Alil 2 Camp in Ninewa Governorate, providing essential services to internally displaced persons.","United States, Agency for International Development",80,41,80,54
2016,302,United States,Agency for International Development,20169017168,Iraq,Middle East,ODA Grants,5.868689,302,"SHELTER, PROTECTION, AND NFIS FOR RECENTLY DISPLACED POPULATIONSIN IRAQ - PROTECTION AND SOLUTIONS","Shelter, Protection, and NFIs for recently displaced populationsin Iraq - Protection and Solutions",Public Administration,Nineveh,36.15781,43.24836,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"The 2018 humanitarian initiative in Iraq provided shelter, protection, and non-food items (NFIs) to newly displaced populations affected by conflict. Implemented under the Iraq Humanitarian Response Plan, the program aimed to assist vulnerable individuals, particularly in areas with high displacement. A key implementation site was the Hammam al-Alil 2 Camp in Ninewa Governorate, offering essential services to internally displaced persons.","United States, Agency for International Development",98,41,98,71
2017,302,United States,Agency for International Development,2017011118B,Iraq,Middle East,ODA Grants,5.83774,302,ADMINISTRATIVE COSTS,Administrative costs,Other,Baghdad,33.30081,44.40631,91010,Administrative costs (non-sector allocable),910,Administrative Costs of Donors,2017-01-01 00:00:00,2017-12-31 00:00:00,"USAID's administrative costs in 2017 encompassed salaries, benefits, and operational expenses for its personnel in Iraq, facilitating the oversight and implementation of various development and humanitarian programs","United States, Agency for International Development",20,43,20,20
2020,302,United States,Agency for International Development,2020022266,Iraq,Middle East,ODA Grants,5.83,302,12-MONTH RSP AWARD FOR PROTECTION IN IRAQ,12-month RSP award for Protection in Iraq,Public Administration,Erbil,35.94622,43.62214,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2020-12-01 00:00:00,2021-11-30 00:00:00,"The 12-month RSP (Resilience and Protection Services) award in 2020 aimed to strengthen protection mechanisms for conflict-affected populations in Iraq. The program focused on enhancing community-based protection, capacity building, and sustainable support systems for vulnerable groups. A significant implementation site was the Debaga Camp in Erbil Governorate, providing services to internally displaced persons","United States, Agency for International Development",41,41,41,171
2013,10,Sweden,Swedish International Development Authority,2013001253,Iraq,Middle East,ODA Grants,5.757539,10,OECD IMPROVING BUSINESS AND INVESTMENT CLIMATE IRAQ 2013-2016 - OECD CAPACITY FOR INVESTMENT,OECD Improving business and investment climate Iraq 2013-2016 - OECD Capacity for investment,Industry,Baghdad,33.32143,44.39677,32110,Industrial policy and administrative management,321,III.2.a. Industry,2013-12-01 00:00:00,2016-12-28 00:00:00,"Contribution aims to improve the business and investment climate in Iraq through capacity building and policy dialogue with key actors. the main cooperation partners to the OECD is the national investment commission, NIC.","Sweden, Swedish International Development Authority",92,47,92,221
2019,302,United States,State Department,2019027475,Iraq,Middle East,ODA Grants,5.75,302,U.S. DEPARTMENT OF STATE: BUREAU OF NEAR EASTERN AFFAIRS (NEA) - RULE OF LAW AND HUMAN RIGHTS: COMMUNITY POLICING IN IRAQ,U.S. Department of State: Bureau of Near Eastern Affairs (NEA) - Rule of Law and Human Rights: Community Policing in Iraq,Public Administration,Nineveh,35.80066,43.31725,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,2019-01-01 00:00:00,2019-12-31 00:00:00,U.S. Department of State: Bureau of Near Eastern Affairs (NEA) - Rule of Law and Human Rights. Economic Support Fund. This award will support the IOM project to support community policing in Iraq.,"United States, State Department",121,30,121,196
2013,10,Sweden,Swedish International Development Authority,2013001647,Iraq,Middle East,ODA Grants,5.71286,10,ICRC APPEAL 2013,ICRC appeal 2013,Public Administration,Erbil,36.19471,44.03435,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2014-12-28 00:00:00,"Sida support the ICRC to improve the health situation of vulnerable people, providing protection to adults and children in conflict situations, ensure access to water - and sanitation in vulnerable communities, access to detainees around the world, and to continue the dissemination of information and compliance with IHL.","Sweden, Swedish International Development Authority",16,39,16,322
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020006298,Iraq,Middle East,ODA Grants,5.698006,302,"FINANCIAL INCLUSION FOR A NEW ECONOMIC START AND INTEGRATION FOR INTERNALLY DISPLACED PERSONS, RETURNEES AND HOST COMMUNITIES","Financial inclusion for a new economic start and integration for internally displaced persons, returnees and host communities",Other,Kirkuk,35.46614,44.39106,24010,Financial policy and administrative management,240,II.4. Banking & Financial Services,2020-12-01 00:00:00,2023-11-30 00:00:00,"The project enhances financial inclusion by improving access to sustainable, inclusive financial services for internally displaced persons, returnees, and host communities in Iraq. It supports economic reintegration and empowerment of vulnerable groups through tailored financial products and capacity-building initiatives.","Germany, Federal Ministry for Economic Cooperation and Development",125,46,125,100
2020,5,Germany,Federal Foreign Office,2020008814,Iraq,Middle East,ODA Grants,5.698006,302,EMERGENCY FOOD ASSISTANCE FOR SYRIAN REFUGEES IN IRAQ,Emergency food assistance for Syrian refugees in Iraq,Public Administration,Duhok,36.90325,42.88477,72040,Emergency food assistance,720,VIII.1. Emergency Response,2020-01-01 00:00:00,2021-12-31 00:00:00,"The project provides emergency food assistance to Syrian refugees in Iraq, ensuring timely delivery of essential nutrition to vulnerable displaced populations to alleviate hunger and improve food security in refugee camps and host communities.","Germany, Federal Foreign Office",53,25,53,53
2017,302,United States,Agency for International Development,2017023681A,Iraq,Middle East,ODA Grants,5.67432,302,HUMANITARIAN SUPPORT FOR IDPS IN IRAQ,Humanitarian support for IDPs in Iraq,Public Administration,Nineveh,35.75817,43.28851,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2016-07-01 00:00:00,2017-06-30 00:00:00,"In 2016, humanitarian efforts in Iraq provided cash assistance and WASH support to internally displaced persons (IDPs). A key implementation site was the Qayyarah Airstrip Emergency Site in Ninewa Governorate, established to accommodate displaced families fleeing conflict. The camp offered essential services, including cash-based assistance and water, sanitation, and hygiene facilities, to support the immediate needs of its residents.","United States, Agency for International Development",37,41,37,107
2016,301,Canada,Global Affairs Canada,2.0162E+13,Iraq,Middle East,ODA Grants,5.658669,301,IRAQ CRISIS - WATER AND HYGIENE ASSISTANCE FOR INTERNALLY DISPLACED PEOPLE - CARE CANADA 2017-2019 / CRISE EN IRAK - AIDE EN EAU ET HYGI횊NE POUR LES P,Iraq Crisis - Water and Hygiene Assistance for Internally Displaced People - CARE Canada 2017-2019 ,Public Administration,Duhok,36.84736,43.06835,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-11-15 00:00:00,2019-12-31 00:00:00,"December 2016 - The humanitarian situation in Iraq continues to deteriorate. The violence between armed groups and government forces has displaced over 3 million people from their homes. The capacity of the Government to respond to the basic needs of its citizens has been overwhelmed. While Daesh has lost considerable territory in 2016, it is expected that humanitarian needs will remain significant in the coming years. More people will be displaced by the conflict, while many will remain displaced in camps and host communities. However, there will also be growing numbers of people returning to areas no longer under the control of Daesh who will also need assistance to help restart their lives.   With GAC's support, CARE Canada is implementing and extending water, sanitation and hygiene (WASH) in camps and new and existing vulnerable host communities, improving overall services, and building the local capacity to continue providing WASH services to conflict-affected Iraqis. Project activities include: (1) providing water and repairing and/or maintaining water networks and sanitation facilities in camps, schools and host communities for up to 117,500 vulnerable conflict-affected people, (2) providing vouchers to allow families to procure needed hygiene supplies, (3) providing technical support and training to water management committees and local authorities to ensure the maintenance of water systems, and (4) providing training (or refresher training) sessions for volunteers on hygiene promotion, early marriage, referral systems for sexual gender-based violence (SGBV) and other protection issues. ","Canada, Global Affairs Canada",150,39,150,3000
2017,5,Germany,Federal Foreign Office,2017007726,Iraq,Middle East,ODA Grants,5.636343,302,HUMANITARIAN ASSISTANCE - WINTER EMERGENCY HELP,Humanitarian Assistance - winter emergency help,Public Administration,Nineveh,35.80411,43.29322,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2017-08-01 00:00:00,2017-12-31 00:00:00,"The Humanitarian Assistance winter emergency help project provides urgent winter relief specifically aimed at protecting children in Iraq from harsh cold conditions. It delivers shelter improvements, warm clothing, heating supplies, and health support to vulnerable children living in displacement camps and affected communities.","Germany, Federal Foreign Office",47,39,47,42
2023,5,Germany,Federal Foreign Office,2023003185,Iraq,Middle East,ODA Grants,5.622837,302,SUPPORT OF THE STABILIZATION PROCESS IN IRAQ THROUGH COHERENT PREVENTION OF VIOLENCE AND EXTREMISM,Support of the stabilization process in Iraq through coherent prevention of violence and extremism,IT,Baghdad,33.32189,44.34428,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2021-01-01 00:00:00,2024-09-30 00:00:00,Governmental institutions and civil society organizations develop strategies and measures to prevent violence and violent extremism and to work through the past.,"Germany, Federal Foreign Office",98,59,98,161
2020,302,United States,State Department,2020004799,Iraq,Middle East,ODA Grants,5.594414,302,INTERNATIONAL NARCOTICS CONTROL AND LAW ENFORCEMENT: UNSPECIFIED LAW ENFORCEMENT ACTIVITIES,International Narcotics Control and Law Enforcement: Unspecified Law Enforcement Activities,Public Administration,Baghdad,33.33683,44.43354,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,2020-01-01 00:00:00,2020-12-31 00:00:00,"International Narcotics Control and Law Enforcement (INCLE) advances U.S. national security interests by supporting bilateral, regional, and global programs that enable partners and allies to manage and address transnational threats at their source. INCLE programs mitigate security threats posed by all forms of transnational crime, including production and trafficking of narcotics, and strengthen partner countries' criminal justice systems. These programs improve the ability of partner countries to cooperate effectively with U.S. law enforcement, and address the underlying conditions, such as corruption and weak rule of law, that foster state fragility.","United States, State Department",91,30,91,661
2022,918,EU Institutions,European Commission,2022600009,Iraq,Middle East,ODA Grants,5.573667,918,SUPPORT TO STABILISATION EFFORTS THROUGH DIALOGUE AND DIGITIZATION OF EVIDENCE OF CRIMES COMMITTED BY DAESH,Support to stabilisation efforts through dialogue and digitization of evidence of crimes committed by Da쩔esh,IT,Nineveh,36.38911,43.1387,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2022-04-28 00:00:00,2023-12-31 00:00:00,"This measure will have two components, both serving the overarching objective of addressing grievances and supporting the post-Daesh stabilisation efforts. The first component will build on the mediation and dialogue achievements from previous IcSP[1] supported initiatives by focusing on inclusive and sustainable dialogue between the Iraqi Government and its citizens and facilitating the return of displaced Iraqis to their homes. The second component will continue efforts to preserve evidence r","EU Institutions, European Commission",108,59,108,500
2016,302,United States,Agency for International Development,20169016465,Iraq,Middle East,ODA Grants,5.546496,302,HUMANITARIAN ASSISTANCE TO IRAQ - ASSISTANCE AND RECOVERY,Humanitarian Assistance to Iraq - Assistance and Recovery,Public Administration,Nineveh,35.75838,43.28859,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-01-01 00:00:00,2016-12-31 00:00:00,"Emergency cash distributions to meet shelter and emergency commodity needs, and hygiene promotion, water supply and sanitation infrastructure for displaced populations in Iraq.","United States, Agency for International Development",57,39,57,176
2015,5,Germany,Federal Foreign Office,2015007474,Iraq,Middle East,ODA Grants,5.546312,302,HUMANITARIAN ASSISTANCE IRAQ HUMANITARIAN POOLED FUND,Humanitarian Assistance Iraq Humanitarian Pooled Fund,Public Administration,Erbil,36.19127,44.00967,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2015-07-01 00:00:00,2016-12-31 00:00:00,"The Iraq Humanitarian Pooled Fund (IHPF) supports coordinated, flexible funding to address urgent humanitarian needs across Iraq by providing rapid financial resources to frontline responders working with vulnerable populations affected by conflict and displacement.","Germany, Federal Foreign Office",53,39,53,44
2021,12,United Kingdom,Conflict stability and security fund,2021004176-c,Iraq,Middle East,ODA Grants,5.502063,12,COVID-19 SUPPORT,Covid-19 Support,Health,Erbil,36.19909,43.99299,12264,COVID-19 control,122,I.2.b. Basic Health,2021-01-01 00:00:00,2021-12-31 00:00:00,"In 2021, the UK government committed £3 million (approximately US$4.1 million) to support Iraq's response to the COVID-19 pandemic. This funding aimed to bolster Iraq's health infrastructure and enhance its capacity to manage and mitigate the effects of the virus. The assistance was directed towards strengthening the country's health systems, improving preparedness and response mechanisms, and supporting the delivery of essential health services to vulnerable populations. By focusing on these areas, the UK aimed to contribute to Iraq's efforts in combating the pandemic and safeguarding public health.","United Kingdom, Conflict stability and security fund",16,16,16,48
2020,302,United States,Agency for International Development,2020022958,Iraq,Middle East,ODA Grants,5.5,302,HUMANITARIAN SUPPORT FOR CONFLICT-AFFECTED VULNERABLE PEOPLE IN IRAQ,Humanitarian Support For Conflict-Affected Vulnerable People In Iraq,Public Administration,Nineveh,35.76188,43.27298,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2020-07-01 00:00:00,2021-06-30 00:00:00,"In 2020, humanitarian efforts in Iraq provided cash assistance and WASH support to internally displaced persons (IDPs). A key implementation site was the Qayyarah Airstrip Emergency Site in Ninewa Governorate, established to accommodate displaced families fleeing conflict. The camp offered essential services, including cash-based assistance and water, sanitation, and hygiene facilities, to support the immediate needs of its residents.","United States, Agency for International Development",68,41,68,68
2017,302,United States,Agency for International Development,2017027456,Iraq,Middle East,ODA Grants,5.5,302,"WATER, SANITATION AND HYGIENE SERVICES FOR CONFLICT-AFFECTED POPULATIONS IN IRAQ.","Water, sanitation and hygiene services for conflict-affected populations in Iraq.",Public Administration,Nineveh,36.80739,43.01452,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2017-09-18 00:00:00,2018-09-30 00:00:00,"In 2017, humanitarian efforts in Iraq provided water, sanitation, and hygiene (WASH) services to conflict-affected populations. A key implementation site was the Salamiyah 2 Camp in Ninewa Governorate, where interventions included the provision of safe drinking water, sanitation facilities, and hygiene promotion activities to support the health and well-being of internally displaced persons.","United States, Agency for International Development",81,41,81,81
2022,742,Korea,Korea International Cooperation Agency,2022002156,Iraq,Middle East,ODA Grants,5.5,302,"ENHANCING EMPLOYABILITY FOR VULNERABLE YOUTH IN NINAWA, IRAQ(UNESCO)","Enhancing employability for vulnerable youth in Ninawa, IRAQ(UNESCO)",Education,Nineveh,36.37452,43.13539,11330,Vocational training,113,I.1.c. Secondary Education,2022-01-01 00:00:00,2024-12-31 00:00:00,"In 2022, UNESCO, with support from the Republic of Korea, launched a project aimed at enhancing the employability of vulnerable youth in Nineveh Governorate, Iraq. The initiative focused on improving the quality of technical education at three vocational education and training (TVET) institutions based on labor market demands. Key activities included curriculum development aligned with industry needs, capacity building for educators, and the establishment of linkages between training programs and employment opportunities. The project sought to equip youth with relevant skills to increase their employability and contribute to the region's socio-economic development. As of September 2024, 100 youth had benefited from the program, with plans for expansion to reach more beneficiaries in the future.","Korea, Korea International Cooperation Agency",68,19,68,118
2023,12,United Kingdom,"Foreign, Commonwealth and Development Office",2018004416,Iraq,Middle East,ODA Grants,5.441889,12,BRITISH COUNCIL - IRAQ,British Council - Iraq,Other,Najaf,32.01905,44.37721,43081,Multisector education/training,430,IV.2. Other Multisector,2023-01-01 00:00:00,2023-12-31 00:00:00,"Contributing to development through projects which support the skills and employability of young people, strengthen English language teaching and learning and increase collaboration in higher education and research.","United Kingdom, Foreign, Commonwealth and Development Office",22,30,22,215
2016,301,Canada,Global Affairs Canada,2.0162E+13,Iraq,Middle East,ODA Grants,5.432322,301,IRAQ CRISIS - ASSISTANCE FOR PEOPLE WITH DISABILITIES - HANDICAP INTERNATIONAL CANADA 2017-2019 / CRISE EN IRAK - AIDE AUX PERSONNES HANDICAP횋ES - HAN,Iraq Crisis - Assistance for People with Disabilities - Handicap International Canada 2017-2019 ,Public Administration,Kirkuk,35.33377,44.40898,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2016-11-15 00:00:00,2019-12-31 00:00:00,"December 2016 - The humanitarian situation in Iraq continues to deteriorate. The violence between armed groups and government forces has displaced over 3 million people from their homes. The capacity of the Government to respond to the basic needs of its citizens has been overwhelmed. While Daesh has lost considerable territory in 2016, it is expected that humanitarian needs will remain significant in the coming years. More people will be displaced by the conflict, while many will remain displaced in camps and host communities. However, there will also be growing numbers of people returning to areas no longer under the control of Daesh who will also need assistance to help restart their lives.   With GAC's support, Handicap International Canada is improving the accessibility of physical rehabilitation, psychosocial support services and community awareness of environmental risks for vulnerable conflict-affected Iraqis. Project activities include: (1) providing physical and functional rehabilitation services, and psychosocial support services to people with functional limitations, psychosocial distress and their caregivers, (2) providing training, equipment and assistive devices to local structures providing physical rehabilitation services, (3) conducting awareness activities on chemical weapons (CW) and improvised explosive devices (IED), and (4) improving the accessibility of local structures. ","Canada, Global Affairs Canada",150,39,150,3000
2017,301,Canada,Global Affairs Canada,2017202109,Iraq,Middle East,ODA Grants,5.392497,301,"IRAQ CRISIS - IMPROVING HEALTH, LIVELIHOODS AND PROTECTION - ICRC 2016-2019/CRISE EN IRAK - AM횋LIORER LA SANT횋, LES MOYENS DE SUBSISTANCE ET LA PROTEC","Iraq Crisis - Improving Health, Livelihoods and Protection - ICRC 2016-2019",Public Administration,Nineveh,35.80018,43.28334,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2016-10-17 00:00:00,2019-09-30 00:00:00,"September 2016 ??The humanitarian situation in Iraq continues to deteriorate as armed clashes between Daesh and government forces drive displacement. Since January 2014, over 3.3 million people have been displaced and an additional 887,000 previously displaced people have returned to their homes that have often been destroyed, making it one of the largest cases of internal displacement in the world. Persecution of minority groups is an ongoing concern as well as the protection of women and children who are at an increased risk of (and in some cases targeted for) sexual violence such as rape, as well as child, early and forced marriage. Canada is helping reduce the vulnerability of hundreds of thousands of crisis-affected people, especially women and children, through a broad spectrum of humanitarian assistance activities across Iraq.GAC's multi-year humanitarian support to the International Committee of the Red Cross (ICRC) is contributing to improved health, living conditions, livelihoods and protection in conflict-affected regions of Iraq. Project activities include: (1) providing food assistance and non-food essential relief items to conflict-affected people, (2) providing emergency cash assistance and support of productive inputs for livelihoods, (3) providing water and shelter support, (4) providing medical services through direct support to health centres and hospitals, and (5) providing physical rehabilitation and support to vulnerable persons.","Canada, Global Affairs Canada",171,41,150,3000
